transaction_id,year,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Revenue
82,2025,10:14:49,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0
83,2025,10:14:49,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75
84,2025,10:16:30,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0
85,2025,10:16:33,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5
86,2025,10:18:14,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5
87,2025,10:18:52,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
88,2025,10:19:42,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0
89,2025,10:24:19,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5
90,2025,10:25:22,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1
91,2025,10:25:45,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0
92,2025,10:25:45,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5
93,2025,10:27:48,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0
94,2025,10:30:07,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1
95,2025,10:30:07,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,3.25
96,2025,10:35:47,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
97,2025,10:41:53,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
98,2025,10:47:53,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5
99,2025,10:49:13,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0
100,2025,10:49:51,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,9.5
101,2025,10:51:17,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0
102,2025,10:52:44,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,5.0
103,2025,10:52:44,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,3.75
104,2025,10:56:14,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75
105,2025,10:56:14,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5
106,2025,11:01:48,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0
107,2025,11:01:58,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,3.75
108,2025,11:01:58,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5
109,2025,11:03:25,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0
110,2025,11:03:25,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
111,2025,11:04:32,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,8.5
112,2025,11:08:11,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
113,2025,11:08:59,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0
114,2025,11:09:01,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
115,2025,11:10:21,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0
116,2025,11:10:21,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75
117,2025,11:10:58,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5
118,2025,11:12:29,1,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0
119,2025,11:16:02,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0
120,2025,11:21:00,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0
121,2025,11:21:04,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0
122,2025,11:21:14,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
123,2025,11:23:01,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,2.2
124,2025,11:23:43,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5
125,2025,11:23:43,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,3.0
126,2025,11:25:35,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0
127,2025,11:25:37,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5
128,2025,11:28:15,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0
129,2025,11:28:29,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0
130,2025,11:29:25,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1
131,2025,11:29:57,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2
132,2025,11:29:57,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5
133,2025,11:30:22,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5
134,2025,11:31:35,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0
135,2025,11:31:43,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,6.0
136,2025,11:31:43,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25
137,2025,11:31:53,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0
138,2025,11:31:53,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
139,2025,11:39:14,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
140,2025,11:39:14,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75
141,2025,11:40:26,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0
142,2025,11:43:57,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
143,2025,11:44:09,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,3.75
144,2025,11:47:13,1,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3.0
145,2025,11:48:56,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0
146,2025,11:49:42,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5
147,2025,11:49:42,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25
148,2025,11:50:16,2,3,Astoria,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,6.0
149,2025,11:50:23,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5
150,2025,11:50:58,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0
151,2025,11:51:30,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0
152,2025,11:52:31,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1
153,2025,11:57:17,2,3,Astoria,37,3.0,Coffee,Barista Espresso,Espresso shot,6.0
154,2025,11:57:59,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,2.5
155,2025,11:57:59,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75
156,2025,11:58:15,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5
157,2025,12:00:20,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5
158,2025,12:01:00,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0
159,2025,12:01:20,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2
160,2025,12:01:20,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5
161,2025,12:03:09,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75
162,2025,12:03:38,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0
163,2025,12:03:43,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5
164,2025,12:04:22,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0
165,2025,12:05:31,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,5.0
166,2025,12:06:29,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5
167,2025,12:07:42,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0
168,2025,12:08:21,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0
169,2025,12:08:36,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1
170,2025,12:09:11,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0
171,2025,12:09:12,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0
172,2025,12:13:07,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,7.5
173,2025,12:14:26,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,6.2
174,2025,12:17:38,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,5.0
175,2025,12:18:07,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
176,2025,12:18:44,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0
177,2025,12:20:16,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5
178,2025,12:23:39,1,3,Astoria,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0
179,2025,12:27:06,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5
180,2025,12:30:46,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0
181,2025,12:30:49,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,3.75
182,2025,12:33:20,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0
183,2025,12:33:35,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5.0
184,2025,12:35:53,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,4.4
185,2025,12:36:57,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
186,2025,12:38:28,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0
187,2025,12:42:26,1,3,Astoria,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0
188,2025,12:44:01,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
189,2025,12:44:31,1,3,Astoria,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0
190,2025,12:44:32,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2.5
191,2025,12:45:52,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0
192,2025,12:46:22,1,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
193,2025,12:46:26,1,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5
194,2025,12:46:55,1,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.5
195,2025,12:46:55,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,3.5
196,2025,12:48:08,2,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,7.5
197,2025,12:49:48,1,8,Hell's Kitchen,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3.0
198,2025,12:50:15,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5
199,2025,12:50:28,2,3,Astoria,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0
200,2025,12:51:21,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0
201,2025,12:51:57,1,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75
202,2025,12:51:57,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,3.25
203,2025,12:52:18,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
204,2025,12:52:18,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
205,2025,12:53:11,2,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5.0
206,2025,12:53:59,1,8,Hell's Kitchen,37,3.0,Coffee,Barista Espresso,Espresso shot,3.0
207,2025,12:55:25,1,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,3.0
208,2025,12:55:27,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1
209,2025,12:55:27,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,3.5
210,2025,12:55:36,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0
211,2025,12:55:53,2,8,Hell's Kitchen,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,6.0
212,2025,12:56:33,1,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75
213,2025,12:56:59,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0
214,2025,12:58:54,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,5.0
215,2025,12:59:06,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75
216,2025,13:00:38,2,5,Lower Manhattan,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,6.0
217,2025,13:01:33,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
218,2025,13:02:40,1,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,3.0
219,2025,13:02:40,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5
220,2025,13:02:52,1,8,Hell's Kitchen,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0
221,2025,13:03:13,2,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0
222,2025,13:04:01,2,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4
223,2025,13:04:01,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,3.25
224,2025,13:04:22,2,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,5.0
225,2025,13:04:37,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,5.0
226,2025,13:04:51,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0
227,2025,13:05:56,1,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3.5
228,2025,13:07:37,2,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,6.0
229,2025,13:09:03,1,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1
230,2025,13:12:03,2,5,Lower Manhattan,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,6.0
231,2025,13:13:09,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.75
232,2025,13:17:30,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55
233,2025,13:17:32,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,8.0
234,2025,13:18:34,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,6.0
235,2025,13:19:09,1,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4.0
